[2025-02-14 15:10:08] This is codeql database index-files --include-extension=.properties --size-limit=5m --language properties -- /Users/thida/ftp/gradle-project-demo/demo
[2025-02-14 15:10:08] Log file was started late.
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Cellar/openjdk@17/17.0.14/libexec/openjdk.jdk/Contents/Home/bin...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/jars...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/jars/Users...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/jars/Users/thida...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/jars/Users/thida/.gradle...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/jars/Users/thida/.gradle/caches...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/jars/Users/thida/.gradle/caches/modules-2...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/jars/Users/thida/.gradle/caches/modules-2/files-2.1...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/jars/Users/thida/.gradle/caches/modules-2/files-2.1/org.hamcrest...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/jars/Users/thida/.gradle/caches/modules-2/files-2.1/org.hamcrest/hamcrest-core...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/jars/Users/thida/.gradle/caches/modules-2/files-2.1/org.hamcrest/hamcrest-core/1.3...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/jars/Users/thida/.gradle/caches/modules-2/files-2.1/org.hamcrest/hamcrest-core/1.3/42a25dc3219429f0e5d060061f71acb49bf010a0...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/jars/Users/thida/.gradle/caches/modules-2/files-2.1/junit...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/jars/Users/thida/.gradle/caches/modules-2/files-2.1/junit/junit...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/jars/Users/thida/.gradle/caches/modules-2/files-2.1/junit/junit/4.13.2...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/jars/Users/thida/.gradle/caches/modules-2/files-2.1/junit/junit/4.13.2/8ac9e16d933b6fb43bc7f576336b8f4d7eb5ba12...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/util...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/util/locale...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/util/locale/Extension.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/util/locale/ParseStatus.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/util/locale/BaseLocale.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/util/locale/LocaleExtensions.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/util/locale/InternalLocaleBuilder$CaseInsensitiveChar.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/util/locale/InternalLocaleBuilder$CaseInsensitiveString.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/util/locale/LanguageTag.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/util/locale/InternalLocaleBuilder.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/util/locale/LocaleSyntaxException.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/security...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/security/util...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/security/util/Debug.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/invoke...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/invoke/empty...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/invoke/empty/Empty.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/invoke/util...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/invoke/util/Wrapper.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/ShortSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/ArrayTypeSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/TypeArgument.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/Wildcard.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/TypeSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/ByteSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/TypeVariableSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/CharSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/LongSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/IntSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/MethodTypeSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/FormalTypeParameter.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/DoubleSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/VoidDescriptor.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/FloatSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/BottomSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/ClassSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/FieldTypeSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/ReturnType.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/SimpleClassTypeSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/Signature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/ClassTypeSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/TypeTree.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/BaseType.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/Tree.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/tree/BooleanSignature.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/repository...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/repository/AbstractRepository.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/repository/MethodRepository.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/repository/ConstructorRepository.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/repository/GenericDeclRepository.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/visitor...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/visitor/Visitor.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/visitor/Reifier.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/visitor/TypeTreeVisitor.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/factory...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/generics/factory/GenericsFactory.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/annotation...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/reflect/annotation/AnnotationType.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/nio...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/nio/ch...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/nio/ch/DirectBuffer.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/sun/nio/ch/Interruptible.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org/hamcrest...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org/hamcrest/Description.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org/hamcrest/Matcher.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org/hamcrest/SelfDescribing.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org/junit...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org/junit/Test.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org/junit/internal...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org/junit/internal/ArrayComparisonFailure.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org/junit/Assert.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org/junit/function...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org/junit/function/ThrowingRunnable.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org/junit/Test$None.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org/example...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org/example/App.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/org/example/AppTest.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/misc...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/misc/VM$BufferPool.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/misc/ScopedMemoryAccess$ScopedAccessError.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/misc/ScopedMemoryAccess$Scoped.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/misc/Unsafe.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/misc/ScopedMemoryAccess.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/misc/VM.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/ref...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/ref/Cleaner.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/ref/PhantomCleanable.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/ref/CleanerImpl.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/access...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/access/JavaLangInvokeAccess.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/access/JavaNioAccess.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/access/foreign...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/access/foreign/UnmapperProxy.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/util...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/util/StrongReferenceKey.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/util/ReferenceKey.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/util/WeakReferenceKey.members...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/trap/java/classes/jdk/internal/util/ClassFileDumper.members...
